#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
010,33402,22001,"NORMALIZACIÓN LINGÜÍSTICA. PRENSA, REVISTAS, LIBROS E O. PUB",010,3,2,300,,,
010,33402,22699,NORMALIZACIÓN LINGÜÍSTICA.OUTROS GTOS.DIV. ACTIVIDADES,010,3,2,100000,,,
010,33402,48900,NORMALIZACIÓN LINGÜÍSTICA. TRANFERENCIAS NOMINATIVAS,010,3,4,2500,,,
010,33402,48901,NORMALIZACION LINGÜISTICA. TRANFERENCIAS NON NOMINATIVAS,010,3,4,12000,,,
010,33403,22700,CSC. LIMPEZA E ASEO,010,3,2,274353.88,,,
010,33404,21200,P. CULTURAL.ASOC.VECIÑA.REPARAC. MANTEM. EDIFICIOS E O.CONST,010,3,2,580.8,,,
010,33404,21300,"P.CULTURAL ASOC. VEC.REPARAC. MANTEM, MAQUIN.,INST. E UTILL.",010,3,2,5000,,,
010,33404,21600,P.CULTURAL.ASOC.VEC.REPARA. MANTEN. EQUIPOS PROCESOS INFORM.,010,3,2,2500,,,
010,33404,22001,"P.CULTURAL. ASOCIACIÓNS VECIÑAIS. PRENSA, REV. E O. PUBLICAC",010,3,2,1600,,,
010,33404,22102,P. CULTULRAL. ASOCIACIÓNS VECIÑAIS. GAS.,010,3,2,4000,,,
010,33404,22300,P. CULTURAL. ASOCIACIÓNS VECIÑAIS. TRANSPORTES.,010,3,2,1500,,,
010,33404,22699,P.CULTURAL. ASOC. VECIÑAIS. OUTROS GTOS. DIV. ACTIVIDADES,010,3,2,50000,,,
010,33404,22701,P. CULTURAL. ASOCIACIÓNS VECIÑAIS. SEGURIDADE,010,3,2,1100,,,
010,33404,22799,P.CULTURAL.ASOC.VECIÑAIS. OUTROS TRAB REALIZ OUTRAS EMPRESAS,010,3,2,9900,,,
010,33404,48901,P.CULTURAL ASOCIACIÓNS VECIÑAIS. TRANSF. NON NOMINATIVAS,010,3,4,100000,,,
010,34200,22700,INSTALACIÓNS DEPORTIVAS. LIMPEZA E ASEO,010,3,2,185186.09,,,
010,43200,22699,PROMOCIÓN TURÍSTICA. PROMOCIÓN DA CIDADE,010,4,2,225000,,,
010,49100,22200,SODCIEDADE DA INFORMACIÓN SERVIZO DE TELECOMUNICACIÓNS.,010,4,2,290574.07,,,
010,91200,22000,ÓRGANOS DE GOBERNO. MATERIAL DE OFICINA ORDINARIO NON INVENT,010,9,2,1000,,,
010,91200,22602,ORGANOS DE GOBERNO. PUBLICIDADE E PROPAGANDA.,010,9,2,110000,,,
010,91200,22699,ORGANOS DE GOBERNO. OUTROS GASTOS DIVERSOS,010,9,2,5000,,,
010,91200,22706,ORGANOS DE GOBERNO. ESTUDOS E TRABALLOS TÉCNICOS,010,9,2,2800,,,
010,91200,23000,ÓRGANOS DE GOBERNO. DIETAS DE CARGOS ELECTOS,010,9,2,4000,,,
010,91200,23100,ÓRGANOS DE GOBERNO. LOCOMOCIÓN DE CARGOS ELECTOS,010,9,2,12000,,,
010,91200,23300,ÓRGANOS DE GOBERNO. OUTRAS INDEMNIZACIÓNS,010,9,2,45000,,,
010,91200,48900,ÓRGANOS DE GOBERNO. TRANFERENCIAS GRUPOS MUNICIPAIS,010,9,4,156700,,,
010,91201,22601,PROTOCOLO. ATENCIONS PROTOCOLARIAS E REPRESENTATIVAS,010,9,2,80000,,,
010,91201,22699,PROTOCOLO. OUTROS GASTOS DIVERSOS,010,9,2,10000,,,
010,92000,20200,ADMINISTRACIÓN XERAL.ARRENDAMENTOS EDIFICIOS E OUTRAS CONSTR,010,9,2,144895.45,,,
010,92000,20300,ADMON. XERAL. ARRENDAMENTO MAQUIN. INSTALAC. E UTILL.,010,9,2,2808.41,,,
010,92000,20400,ADMINISTRACIÓN XERAL. ARRENDAMENTO MATERIAL DE TRANSPORTE,010,9,2,41408.98,,,
010,92000,21200,ADMÓN  XERAL. REPARAC. MANTEM. EDIFICIOS E O.CONSTRUC.,010,9,2,86250,,,
010,92000,21300,"ADMON XERAL. REPARAC. MANTEM, MAQUIN.,INSTA E UTILLA.",010,9,2,5000,,,
010,92000,21400,ADMINISTRACIÓN XERAL. REPARAC. MANTEM. MATERIAL TRANSPORTE,010,9,2,90000,,,
010,92000,21600,ADMON XERAL. REPARA. MANTEN. EQUIPOS PROCESOS INFORM.,010,9,2,5000,,,
010,92000,22000,ADMÓN. XERAL. MATERIAL DE OFICINA ORD NON INVENTARIABLE,010,9,2,71506.48,,,
010,92000,22001,"ADMINISTRACIÓN XERAL. PRENSA, REVISTAS, LIBROS E OUTRAS PUBL",010,9,2,3582.98,,,
010,92000,22103,ADMINISTRACIÓN XERAL. COMBUSTIBLES E CARBURANTES.,010,9,2,90000,,,
010,92000,22104,ADMINISTRACIÓN XERAL VESTIARIO.,010,9,2,9300,,,
010,92000,22110,ADMINISTRACIÓN XERAL PRODUTOS DE LIMPIEZA Y ASEO.,010,9,2,500,,,
010,92000,22201,ADMINISTRACIÓN XERAL. CORREO E SEVIZOS URXENTES.,010,9,2,300000,,,
010,92000,22401,ADMINISTRACIÓN XERAL. PRIMAS DE SEGUROS. PARQUE MÓBIL.,010,9,2,35000,,,
010,92000,22402,ADMINISTRACIÓN XERAL. PRIMAS DE SEGUROS. SRC. PATRIMONIAL,010,9,2,92483.71,,,
010,92000,22502,ADMINISTRACIÓN XERAL. TRIBUTOS DAS ENTIDADES LOCAIS,010,9,2,3000,,,
010,92000,22603,ADMINISTRACIÓN XERAL. PUBLICACIÓNS EN DIARIOS OFICIAIS,010,9,2,10000,,,
010,92000,22604,ADMINISTRACIÓN XERAL. GASTOS XURÍDICOS E CONTENCIOSOS,010,9,2,92910,,,
010,92000,22699,ADMINISTRACIÓN XERAL. OUTROS GASTOS DIVERSOS,010,9,2,22240,,,
010,92000,22700,ADMINISTRACIÓN XERAL. LIMPEZA,010,9,2,607032.52,,,
010,92000,22701,ADMINISTRACIÓN XERAL. SEGURIDADE,010,9,2,5865.65,,,
010,92000,22799,ADMON XERAL. OUTROS TRAB. REALIZADOS POR OUTRAS EMPRESAS,010,9,2,4735,,,
010,92000,62500,ADMINISTRACIÓN XERAL. MOBILIARIO,010,9,6,3000,,,
010,92001,21300,"INFORMÁTICA. REPARAC. MANTEM, MAQUIN.,INSTA E UTILLA.",010,9,2,1010,,,
010,92001,21600,INFORMÁTICA. REPARA. MANTEN. EQUIPOS PROCESOS INFORM.,010,9,2,10100,,,
010,92001,22001,"INFORMÁTICA. PRENSA, REVISTAS E OUTRAS PUBLICACIÓNS",010,9,2,24176.17,,,
010,92001,22002,INFORMATICA. MATERIAL INFORMÁTICO NON INVENTARIABLE.,010,9,2,23096.64,,,
010,92001,22699,INFORMÁTICA. OUTROS GASTOS DIVERSOS,010,9,2,2505,,,
010,92001,22706,INFORMÁTICA. ESTUDOS E TRABALLOS TÉCNICOS,010,9,2,126794.83,,,
010,92001,22799,INFORMÁTICA. OUTROS TRAB REALIZ POR OTRAS EMPRESAS E PROFES,010,9,2,327160.89,,,
010,92001,62600,INFORMÁTICA.EQUIPOS PARA PROCESOS DE INFORMACION,010,9,6,60000,,,
010,92001,64100,INFORMÁTICA.GASTOS EN APLICACIÓNS INFORMÁTICAS,010,9,6,155150.5,,,
010,92500,21600,ATENCIÓN CIDADÁ. REPARA. MANTEN. EQUIPOS PROCESOS INFORM.,010,9,2,350,,,
010,92501,22001,"COMUNICACIÓN PRENSA, REVISTAS, LIBROS E OUTRAS PUBLICACIÓNS.",010,9,2,60000,,,
