#Org.,Prog.,Econ.,Denominación,Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
10,33402,22001,"NORMALIZACIÓN LINGÜÍSTICA. PRENSA, REVISTAS, LIBROS E O. PUB",10,3,2,300,0,300,1260
10,33402,22699,NORMALIZACIÓN LINGÜÍSTICA.OUTROS GTOS.DIV. ACTIVIDADES,10,3,2,100000,0,100000,82173.86
10,33402,22706,NORMALIZACIÓN LINGÜÍSTICA. ESTUDIOS E TRABALLOS TÉCNICOS,10,3,2,0,0,0,12342
10,33402,48900,NORMALIZACIÓN LINGÜÍSTICA. TRANFERENCIAS NOMINATIVAS,10,3,4,2500,0,2500,2500
10,33402,48901,NORMALIZACION LINGÜISTICA. TRANFERENCIAS NON NOMINATIVAS,10,3,4,12000,0,12000,10000
10,33403,22700,CSC. LIMPEZA E ASEO,10,3,2,274353.88,0,274353.88,258407.77
10,33404,21200,P. CULTURAL.ASOC.VECIÑA.REPARAC. MANTEM. EDIFICIOS E O.CONST,10,3,2,580.8,0,580.8,532.4
10,33404,21300,"P.CULTURAL ASOC. VEC.REPARAC. MANTEM, MAQUIN.,INST. E UTILL.",10,3,2,5000,0,5000,4881.7
10,33404,21600,P.CULTURAL.ASOC.VEC.REPARA. MANTEN. EQUIPOS PROCESOS INFORM.,10,3,2,2500,0,2500,2800.43
10,33404,22001,"P.CULTURAL. ASOCIACIÓNS VECIÑAIS. PRENSA, REV. E O. PUBLICAC",10,3,2,1600,0,1600,0
10,33404,22102,P. CULTULRAL. ASOCIACIÓNS VECIÑAIS. GAS.,10,3,2,4000,0,4000,4216.53
10,33404,22300,P. CULTURAL. ASOCIACIÓNS VECIÑAIS. TRANSPORTES.,10,3,2,1500,0,1500,0
10,33404,22699,P.CULTURAL. ASOC. VECIÑAIS. OUTROS GTOS. DIV. ACTIVIDADES,10,3,2,50000,-10110.76,39889.24,22305.71
10,33404,22701,P. CULTURAL. ASOCIACIÓNS VECIÑAIS. SEGURIDADE,10,3,2,1100,0,1100,0
10,33404,22706,P. CULTURAL. ASOC. VECIÑAIS. ESTUDIOS E TRABALLOS TÉCNICOS.,10,3,2,0,0,0,423.5
10,33404,22799,P.CULTURAL.ASOC.VECIÑAIS. OUTROS TRAB REALIZ OUTRAS EMPRESAS,10,3,2,9900,0,9900,16227.45
10,33404,48901,P.CULTURAL ASOCIACIÓNS VECIÑAIS. TRANSF. NON NOMINATIVAS,10,3,4,100000,0,100000,56235.44
10,33404,62300,"MAQUINARIA, INSTALACIONS E UTILLAXE",10,3,6,0,10110.76,10110.76,10110.76
10,34200,22700,INSTALACIÓNS DEPORTIVAS. LIMPEZA E ASEO,10,3,2,185186.09,0,185186.09,173246.51
10,43200,20300,PROMOCIÓN TURÍSTICA. ARRENDAMENTO MAQUIN. INSTALAC. E UTILL.,10,4,2,0,2318.3,2318.3,31790.89
10,43200,22602,PROMOCIÓN TURÍSTICA. PUBLICIDADE E PROPAGANDA,10,4,2,0,12704.67,12704.67,107255.9
10,43200,22699,PROMOCIÓN TURÍSTICA. PROMOCIÓN DA CIDADE,10,4,2,225000,33275.25,258275.25,163260.13
10,43200,22706,ESTUDIOS Y TRABAJOS TÉCNICOS.,10,4,2,0,11625.46,11625.46,49398.48
10,49100,22200,SODCIEDADE DA INFORMACIÓN SERVIZO DE TELECOMUNICACIÓNS.,10,4,2,290574.07,33038.61,323612.68,227803.41
10,91200,22000,ÓRGANOS DE GOBERNO. MATERIAL DE OFICINA ORDINARIO NON INVENT,10,9,2,1000,65,1065,154.26
10,91200,22602,ORGANOS DE GOBERNO. PUBLICIDADE E PROPAGANDA.,10,9,2,110000,32796,142796,158364.28
10,91200,22699,ORGANOS DE GOBERNO. OUTROS GASTOS DIVERSOS,10,9,2,5000,0,5000,380.07
10,91200,22706,ORGANOS DE GOBERNO. ESTUDOS E TRABALLOS TÉCNICOS,10,9,2,2800,0,2800,2607.31
10,91200,23000,ÓRGANOS DE GOBERNO. DIETAS DE CARGOS ELECTOS,10,9,2,4000,0,4000,695.15
10,91200,23100,ÓRGANOS DE GOBERNO. LOCOMOCIÓN DE CARGOS ELECTOS,10,9,2,12000,0,12000,2527.73
10,91200,23300,ÓRGANOS DE GOBERNO. OUTRAS INDEMNIZACIÓNS,10,9,2,45000,0,45000,38403.9
10,91200,48900,ÓRGANOS DE GOBERNO. TRANFERENCIAS GRUPOS MUNICIPAIS,10,9,4,156700,-5500,151200,151200
10,91201,22601,PROTOCOLO. ATENCIONS PROTOCOLARIAS E REPRESENTATIVAS,10,9,2,80000,0,80000,95282.92
10,91201,22699,PROTOCOLO. OUTROS GASTOS DIVERSOS,10,9,2,10000,1204,11204,4750.12
10,92000,20200,ADMINISTRACIÓN XERAL.ARRENDAMENTOS EDIFICIOS E OUTRAS CONSTR,10,9,2,144895.45,0,144895.45,164324.08
10,92000,20300,ADMON. XERAL. ARRENDAMENTO MAQUIN. INSTALAC. E UTILL.,10,9,2,2808.41,0,2808.41,2841.08
10,92000,20400,ADMINISTRACIÓN XERAL. ARRENDAMENTO MATERIAL DE TRANSPORTE,10,9,2,41408.98,1955,43363.98,34182.5
10,92000,21000,REPARAC. MANTEM. E CONSERVAC. INFRAESTR.,10,9,2,0,1363.42,1363.42,0
10,92000,21200,ADMÓN  XERAL. REPARAC. MANTEM. EDIFICIOS E O.CONSTRUC.,10,9,2,86250,0,86250,83341.91
10,92000,21300,"ADMON XERAL. REPARAC. MANTEM, MAQUIN.,INSTA E UTILLA.",10,9,2,5000,0,5000,661.1
10,92000,21400,ADMINISTRACIÓN XERAL. REPARAC. MANTEM. MATERIAL TRANSPORTE,10,9,2,90000,0,90000,53376.95
10,92000,21600,ADMON XERAL. REPARA. MANTEN. EQUIPOS PROCESOS INFORM.,10,9,2,5000,0,5000,9043.31
10,92000,22000,ADMÓN. XERAL. MATERIAL DE OFICINA ORD NON INVENTARIABLE,10,9,2,71506.48,0,71506.48,50921.29
10,92000,22001,"ADMINISTRACIÓN XERAL. PRENSA, REVISTAS, LIBROS E OUTRAS PUBL",10,9,2,3582.98,5000,8582.98,1002.48
10,92000,22103,ADMINISTRACIÓN XERAL. COMBUSTIBLES E CARBURANTES.,10,9,2,90000,15943.74,105943.74,117518.2
10,92000,22104,ADMINISTRACIÓN XERAL VESTIARIO.,10,9,2,9300,0,9300,183.8
10,92000,22110,ADMINISTRACIÓN XERAL PRODUTOS DE LIMPIEZA Y ASEO.,10,9,2,500,0,500,0
10,92000,22201,ADMINISTRACIÓN XERAL. CORREO E SEVIZOS URXENTES.,10,9,2,300000,104874,404874,455215.29
10,92000,22401,ADMINISTRACIÓN XERAL. PRIMAS DE SEGUROS. PARQUE MÓBIL.,10,9,2,35000,0,35000,24016.51
10,92000,22402,ADMINISTRACIÓN XERAL. PRIMAS DE SEGUROS. SRC. PATRIMONIAL,10,9,2,92483.71,0,92483.71,67690.68
10,92000,22501,ADMINISTRACIÓN XERAL TRIBUTOS DE LAS COMUNIDADES AUTÓNOMAS.,10,9,2,0,0,0,1805.96
10,92000,22502,ADMINISTRACIÓN XERAL. TRIBUTOS DAS ENTIDADES LOCAIS,10,9,2,3000,0,3000,3087.13
10,92000,22602,ADMINISTRACIÓN XERAL. PUBLICIDADE E PROPAGANDA,10,9,2,0,0,0,580.8
10,92000,22603,ADMINISTRACIÓN XERAL. PUBLICACIÓNS EN DIARIOS OFICIAIS,10,9,2,10000,0,10000,12238.49
10,92000,22604,ADMINISTRACIÓN XERAL. GASTOS XURÍDICOS E CONTENCIOSOS,10,9,2,92910,341228.85,434138.85,533299.53
10,92000,22699,ADMINISTRACIÓN XERAL. OUTROS GASTOS DIVERSOS,10,9,2,22240,11768,34008,38417.56
10,92000,22700,ADMINISTRACIÓN XERAL. LIMPEZA,10,9,2,607032.52,-21659,585373.52,569245.44
10,92000,22701,ADMINISTRACIÓN XERAL. SEGURIDADE,10,9,2,5865.65,3644,9509.65,6351.09
10,92000,22799,ADMON XERAL. OUTROS TRAB. REALIZADOS POR OUTRAS EMPRESAS,10,9,2,4735,0,4735,0
10,92000,62300,"ADMINISTRACIÓN XERAL. MAQUINARIA, INSTALACIONS E UTILLAXE",10,9,6,0,5071.5,5071.5,0
10,92000,62400,MATERIAL DE TRANSPORTE,10,9,6,0,21500,21500,0
